iter	Passed	Remaining
0	156	156549
1	157	78550
2	157	52499
3	158	39462
4	159	31804
5	160	26569
6	161	22840
7	161	20029
8	162	17842
9	162	16090
10	163	14658
11	163	13465
12	164	12460
13	164	11609
14	165	10870
15	166	10214
16	166	9636
17	167	9123
18	167	8661
19	168	8245
20	168	7867
21	169	7524
22	169	7218
23	170	6931
24	170	6667
25	171	6424
26	171	6198
27	172	5987
28	172	5792
29	173	5609
30	173	5438
31	174	5278
32	175	5133
33	175	4995
34	176	4862
35	176	4736
36	177	4618
37	177	4505
38	178	4398
39	179	4296
40	179	4198
41	180	4106
42	180	4021
43	181	3937
44	181	3857
45	182	3780
46	182	3705
47	183	3634
48	183	3567
49	184	3504
50	185	3443
51	185	3383
52	186	3327
53	186	3272
54	187	3221
55	188	3171
56	188	3122
57	189	3073
58	189	3026
59	190	2980
60	190	2936
61	191	2895
62	191	2855
63	192	2815
64	193	2776
65	193	2738
66	194	2702
67	194	2667
68	195	2632
69	195	2599
70	196	2567
71	196	2537
72	197	2507
73	198	2479
74	198	2449
75	199	2421
76	199	2393
77	200	2365
78	200	2338
79	201	2312
80	201	2287
81	202	2263
82	202	2238
83	203	2215
84	203	2192
85	204	2170
86	204	2148
87	205	2127
88	205	2105
89	206	2085
90	206	2064
91	207	2045
92	207	2027
93	208	2008
94	208	1990
95	209	1972
96	209	1954
97	210	1937
98	210	1919
99	211	1903
100	211	1886
101	212	1870
102	213	1856
103	213	1841
104	214	1826
105	214	1811
106	215	1796
107	215	1782
108	216	1768
109	216	1754
110	217	1740
111	217	1727
112	219	1719
113	219	1706
114	220	1694
115	220	1681
116	221	1668
117	221	1656
118	222	1644
119	222	1632
120	223	1621
121	223	1609
122	224	1598
123	224	1587
124	225	1577
125	225	1566
126	226	1555
127	226	1544
128	227	1534
129	227	1524
130	228	1514
131	228	1504
132	229	1495
133	230	1486
134	230	1477
135	231	1468
136	231	1459
137	232	1450
138	232	1441
139	233	1433
140	233	1424
141	234	1415
142	234	1407
143	235	1400
144	236	1391
145	236	1383
146	237	1375
147	237	1367
148	238	1360
149	238	1352
150	239	1344
151	239	1337
152	240	1330
153	240	1323
154	241	1316
155	241	1308
156	242	1301
157	242	1294
158	243	1287
159	243	1280
160	244	1272
161	244	1266
162	245	1260
163	247	1261
164	248	1255
165	248	1248
166	249	1242
167	249	1236
168	250	1229
169	250	1223
170	251	1219
171	252	1213
172	252	1208
173	253	1202
174	253	1196
175	254	1190
176	254	1184
177	255	1178
178	255	1173
179	256	1168
180	256	1162
181	257	1157
182	258	1152
183	258	1147
184	259	1141
185	259	1136
186	260	1131
187	260	1125
188	261	1121
189	262	1117
190	262	1112
191	263	1107
192	263	1102
193	264	1097
194	264	1093
195	265	1088
196	265	1083
197	266	1078
198	266	1074
199	267	1070
200	268	1065
201	268	1061
202	269	1058
203	270	1053
204	270	1049
205	271	1045
206	271	1041
207	272	1037
208	273	1033
209	273	1030
210	274	1026
211	274	1022
212	275	1017
213	275	1013
214	276	1009
215	277	1005
216	277	1001
217	279	1003
218	280	999
219	280	995
220	281	991
221	281	987
222	282	983
223	282	979
224	283	976
225	284	973
226	284	970
227	285	966
228	285	962
229	286	959
230	287	955
231	287	952
232	288	948
233	288	944
234	289	941
235	289	938
236	290	934
237	290	931
238	291	927
239	291	924
240	292	920
241	292	917
242	293	913
243	293	910
244	294	907
245	295	904
246	295	900
247	296	897
248	296	894
249	297	891
250	297	887
251	298	884
252	298	881
253	299	878
254	299	875
255	300	872
256	300	869
257	302	868
258	302	866
259	303	863
260	303	860
261	304	857
262	305	856
263	306	854
264	307	851
265	307	848
266	308	846
267	308	843
268	309	841
269	310	838
270	311	837
271	311	834
272	312	832
273	313	830
274	314	828
275	314	826
276	315	823
277	316	821
278	316	818
279	317	816
280	317	813
281	318	810
282	318	808
283	319	805
284	319	802
285	320	799
286	321	797
287	321	795
288	322	792
289	322	790
290	323	787
291	323	785
292	324	782
293	324	780
294	325	777
295	325	774
296	326	772
297	327	770
298	327	768
299	328	765
300	328	763
301	329	760
302	329	758
303	330	756
304	330	753
305	331	751
306	331	749
307	332	746
308	332	744
309	333	742
310	333	739
311	334	737
312	334	735
313	335	732
314	335	730
315	336	728
316	337	726
317	337	724
318	338	722
319	338	720
320	339	718
321	339	715
322	340	713
323	340	711
324	341	709
325	341	706
326	342	705
327	343	703
328	344	701
329	344	699
330	345	697
331	345	695
332	346	693
333	346	691
334	347	689
335	347	687
336	348	685
337	348	683
338	349	681
339	349	679
340	350	677
341	350	675
342	351	673
343	351	671
344	352	669
345	352	667
346	353	665
347	354	663
348	354	661
349	354	659
350	355	657
351	356	655
352	356	653
353	357	651
354	357	649
355	358	647
356	358	645
357	359	644
358	359	642
359	360	640
360	360	638
361	361	636
362	361	634
363	362	632
364	362	631
365	363	629
366	363	627
367	365	627
368	366	625
369	366	624
370	367	622
371	367	620
372	368	618
373	368	617
374	369	615
375	370	614
376	370	612
377	371	610
378	371	609
379	372	607
380	372	605
381	373	603
382	373	602
383	374	600
384	374	598
385	375	597
386	376	596
387	376	594
388	377	592
389	377	591
390	378	589
391	378	587
392	379	586
393	379	584
394	380	582
395	381	581
396	381	579
397	382	578
398	382	576
399	383	574
400	383	573
401	384	571
402	384	570
403	385	568
404	386	567
405	386	565
406	387	564
407	387	562
408	388	560
409	388	559
410	389	557
411	389	556
412	390	554
413	390	553
414	391	551
415	391	550
416	392	548
417	392	547
418	393	545
419	393	543
420	394	542
421	394	540
422	395	539
423	395	537
424	396	536
425	397	535
426	397	534
427	398	532
428	399	531
429	399	529
430	400	528
431	400	526
432	401	525
433	401	523
434	402	522
435	402	520
436	403	519
437	403	518
438	404	516
439	404	515
440	405	513
441	405	512
442	406	510
443	406	509
444	407	508
445	408	506
446	408	505
447	409	504
448	409	502
449	410	501
450	410	499
451	411	498
452	411	497
453	412	495
454	412	494
455	413	493
456	413	491
457	414	490
458	415	489
459	415	487
460	416	486
461	416	485
462	417	483
463	417	482
464	418	481
465	418	479
466	419	478
467	419	477
468	420	475
469	420	474
470	421	473
471	421	471
472	422	470
473	422	469
474	423	467
475	424	466
